report;sys_time;sim_state;service_state;nr_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;nr_neighbors;cdma_neighbors;rssi_strongest;nstrong;tech;mcc;mnc;mnc_master;lac_tac_sid;long_cid;node_id_nid;cid_bid;psc_pci;nrtac;nrnci;nrpci;nrarfcn;rssi;rsrq;rssi_ev;ecio_ev;rssnr;nrssrsrp;nrssrsrq;nrsssinr;nrcsirsrp;nrcsirsrq;nrcsisinr;slev;ta;gps;accuracy;lat;long;altitude;speed;bearing;band;arfcn;bw;bwlist;thp_rx;thp_tx
0;20240202115832;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;6;0;0;0;0;-89;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-73;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;13;49.77006413;18.44721433;324.602;0.59;313.8;900;980;2147483647;;0;0
1;20240202115835;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;3;0;0;0;0;-89;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-81;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;10;49.77010838;18.44711206;328.202;0;0;900;980;2147483647;;0;0
2;20240202115840;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;3;0;0;0;0;-89;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-79;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.77008544;18.44712666;326.748;0;0;900;980;2147483647;;0;0
3;20240202115845;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;3;0;0;0;0;-89;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-83;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.77006865;18.44713016;326.32;0;0;900;980;2147483647;;0;0
4;20240202115850;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;3;0;0;0;0;-87;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-83;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.77007255;18.44707602;326.925;0.91;0.8;900;980;2147483647;;0;0
5;20240202115855;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;3;0;0;0;0;-89;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-87;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.77006616;18.44704394;326.187;0;0;900;980;2147483647;;0;0
6;20240202115900;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;3;0;0;0;0;-89;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-79;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.77006346;18.44704988;326.375;0;0;900;980;2147483647;;0;0
7;20240202115905;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;4;0;0;0;0;-89;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-87;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.77006366;18.44705979;326.195;0;0;900;980;2147483647;;0;0
8;20240202115910;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;3;0;0;0;0;-87;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-85;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.77006375;18.44706039;326.202;0;0;900;980;2147483647;;0;0
9;20240202115915;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;N/A;IDLE;UNKNOWN;UNKNOWN;0;0;3;0;0;0;0;-87;0;GSM;230;3;3;31014;12348;2147483647;12348;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-85;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.77006387;18.44706079;326.231;0;0;900;980;2147483647;;0;0
